500098,364499.515,2257073.210,883.808,BS_INV_32_B_S02
500099,364499.542,2257078.692,882.885,BS_INV_32_B_S02
500100,364499.550,2257083.692,885.091,BS_INV_32_B_S02
500101,364499.559,2257091.210,885.087,BS_INV_32_B_S02
500102,364499.550,2257097.255,885.124,BS_INV_32_B_S02
500103,364503.208,2257097.273,885.083,BS_INV_32_B_S02
500104,364503.219,2257091.265,885.020,BS_INV_32_B_S02
500105,364503.214,2257083.806,885.020,BS_INV_32_B_S02
500106,364503.055,2257078.613,883.283,BS_INV_32_B_S02
500108,364503.214,2257073.293,885.180,BS_INV_32_B_S02
