UPN,As_Built_Northing,As_Built_Easting,As_Built_Top_Elev
500061,367329.839,2257916.538,887.862
500062,367329.771,2257907.408,888.79
500063,367329.754,2257902.436,888.509
500064,367329.765,2257897.089,888.198
500065,367329.777,2257889.622,884.475
500066,367329.728,2257883.728,884.242
500067,367326.073,2257883.726,884.78
500068,367326.15,2257889.542,884.861
500069,367326.24,2257897.002,885.015
500070,367326.201,2257902.476,885.112
500071,367326.134,2257907.675,885.319
500072,367326.181,2257916.617,885.667
