UPN,As-Built Northing,As Built Easting,As Built Top Elevation,As-Built Reveal (ft),As-Built Embedment
500181,365854.477,2260031.89,889.036,889.036,-872.536
500182,365854.463,2260040.63,889.147,889.147,-871.647
500183,365854.515,2260045.95,889.006,889.006,-871.506
500184,365854.56,2260051.08,888.996,888.996,-871.496
500185,365854.519,2260058.65,889.068,889.068,-872.568
500186,365854.532,2260064.67,889.079,889.079,-872.579
500187,365858.135,2260064.61,889.105,889.105,-872.605
500188,365858.165,2260058.61,888.877,888.877,-872.377
500189,365858.169,2260051.1,889.01,889.01,-871.51
500190,365858.185,2260046.05,889.129,889.129,-871.629
500191,365858.165,2260040.66,889.095,889.095,-871.595
500192,365858.023,2260031.78,888.937,888.937,-872.437
500241,365854.465,2263321.755,900.822,900.822,-883.322
500242,365854.516,2263327.038,901.084,901.084,-883.584
500243,365854.542,2263334.519,901.045,901.045,-884.545
500244,365854.531,2263340.425,900.883,900.883,-884.383
500245,365858.204,2263340.488,901.067,901.067,-884.567
500246,365858.256,2263334.482,900.961,900.961,-884.461
500247,365858.138,2263327.059,900.94,900.94,-883.44
500248,365858.061,2263321.727,900.957,900.957,-883.457
500249,365858.121,2263316.545,900.959,900.959,-883.459
500250,365858.099,2263307.592,901.011,901.011,-884.511
500251,365854.457,2263316.477,900.85,900.85,-883.35
500252,365854.465,2263307.614,900.949,900.949,-884.449
400194,365560.964,2259708.67,896.336,896.336,-881.336
400195,365560.933,2259040.908,895.008,895.008,-880.008
400197,366084.059,2259040.797,895.457,895.457,-880.457
400199,366087.554,2259393.298,891.69,891.69,-876.69
400201,366087.541,2259395.309,891.641,891.641,-876.641
400202,365810.103,2259393.336,893.837,893.837,-878.837
400203,365557.441,2259393.229,893.243,893.243,-878.243
400204,365810.052,2259373.778,893.389,893.389,-878.389
400205,365557.448,2259373.749,892.162,892.162,-877.162
400206,365560.979,2260391.372,892.76,892.76,-877.76
400207,365560.969,2259723.301,896.582,896.582,-881.582
400208,366084.115,2260391.191,900.463,900.463,-885.463
400210,366087.534,2260017.32,892.435,892.435,-877.435
400211,365947.337,2260017.276,891.588,891.588,-876.588
400212,366087.583,2260019.233,892.34,892.34,-877.34
400213,365947.283,2260019.254,891.684,891.684,-876.684
400214,365809.871,2260075.967,893.91,893.91,-878.91
400215,365557.374,2260075.707,885.608,885.608,-870.608
400216,365810.291,2260056.253,890.744,890.744,-875.744
400217,365557.395,2260056.144,885.46,885.46,-870.46
600205,365954.1,2260016.345,895.35,895.35,-878.35
600206,365948.472,2260016.261,895.365,895.365,-878.365
600207,365959.937,2260016.249,895.434,895.434,-878.434
600208,365954.307,2260020.239,895.431,895.431,-878.431
600209,365948.578,2260020.179,895.361,895.361,-878.361
600210,365960.048,2260020.296,895.456,895.456,-878.456
600211,365808.695,2260055.466,893.933,893.933,-876.933
600212,365804.824,2260055.3,893.637,893.637,-876.637
600213,365804.463,2260057.154,893.664,893.664,-876.664
600214,365808.929,2260057.451,893.967,893.967,-876.967
600215,365804.934,2260074.893,894.272,894.272,-877.272
600216,365809.208,2260074.722,894.375,894.375,-877.375
600217,365809.488,2260076.684,894.375,894.375,-877.375
600218,365804.398,2260076.647,894.261,894.261,-877.261
400218,366581.316,2260839.575,911.257,911.257,-896.257
400219,366581.263,2260425.253,906.32,906.32,-891.32
400220,366084.112,2260859.075,899.84,899.84,-884.84
400221,365560.916,2260405.777,893.755,893.755,-878.755
400222,366084.18,2260405.796,900.435,900.435,-885.435
400223,365561.006,2260859.271,889.153,889.153,-874.153
400224,366087.533,2260621.657,900.545,900.545,-885.545
400225,365942.866,2260621.772,898.979,898.979,-883.979
400226,366584.803,2260623.721,912.129,912.129,-897.129
400227,365942.907,2260623.832,898.947,898.947,-883.947
400228,365811.723,2260680.999,898.762,898.762,-883.762
400229,365557.619,2260680.416,888.325,888.325,-873.325
600219,365954.376,2260620.888,902.552,902.552,-885.552
600220,365949.265,2260621.009,902.393,902.393,-885.393
600221,365959.927,2260620.887,902.538,902.538,-885.538
600222,365943.804,2260620.818,902.335,902.335,-885.335
600223,365954.663,2260624.512,902.581,902.581,-885.581
600224,365949.452,2260624.59,902.529,902.529,-885.529
600225,365959.803,2260624.576,902.637,902.637,-885.637
600226,365943.865,2260624.6,902.446,902.446,-885.446
600227,365811.401,2260679.391,898.994,898.994,-881.994
600228,365804.508,2260679.444,898.208,898.208,-881.208
600229,365804.591,2260681.122,898.233,898.233,-881.233
600230,365811.716,2260681.096,898.756,898.756,-881.756
400230,366084.093,2261541.726,902.615,902.615,-887.615
400231,366084.002,2260873.888,899.507,899.507,-884.507
400232,365560.955,2261541.675,896.33,896.33,-881.33
400233,365560.941,2260873.784,889.119,889.119,-874.119
400234,365947.381,2261169.724,899.744,899.744,-884.744
400235,366087.486,2261169.764,900.063,900.063,-885.063
400236,365947.291,2261167.668,899.736,899.736,-884.736
400237,366087.576,2261167.625,900.014,900.014,-885.014
400238,365810.194,2261226.264,897.179,897.179,-882.179
400239,365557.45,2261226.238,890.906,890.906,-875.906
400240,365810.166,2261206.724,896.884,896.884,-881.884
400241,365557.414,2261206.708,890.476,890.476,-875.476
600231,365959.545,2261166.721,903.488,903.488,-886.488
600232,365948.618,2261166.794,903.169,903.169,-886.169
600233,365954.284,2261166.857,903.331,903.331,-886.331
600234,365954.381,2261170.696,903.427,903.427,-886.427
600235,365948.584,2261170.735,903.381,903.381,-886.381
600236,365959.917,2261170.679,903.643,903.643,-886.643
600237,365808.944,2261205.799,900.517,900.517,-883.517
600238,365804.457,2261205.865,900.146,900.146,-883.146
600239,365809.02,2261207.701,900.457,900.457,-883.457
600240,365804.379,2261207.598,900.121,900.121,-883.121
600241,365808.989,2261225.277,900.476,900.476,-883.476
600242,365804.45,2261225.257,900.385,900.385,-883.385
600243,365809.1,2261227.172,900.655,900.655,-883.655
600244,365804.37,2261227.237,900.438,900.438,-883.438
400254,366084.1609,2262867.807,908.251964,908.251964,-893.251964
400256,365560.983,2262965.223,905.3892118,905.3892118,-890.3892118
400257,365561.0298,2262024.23,904.2979482,904.2979482,-889.2979482
400259,365557.42745,2262318.2267045,902.0910745,902.0910745,-887.0910745
400261,365557.4663,2262298.872,902.73681865,902.73681865,-887.73681865
400262,366084.127,2263413.747,907.52,907.52,-892.52
400263,365560.98,2263862.287,902.939,902.939,-887.939
400264,365560.92,2262979.856,905.1,905.1,-890.1
400265,366084.148,2262882.247,908.527,908.527,-893.527
400266,365949.565,2263293.235,905.896,905.896,-890.896
400267,366087.627,2263295.281,907.525,907.525,-892.525
400268,365949.539,2263295.221,905.837,905.837,-890.837
400269,366087.668,2263293.28,907.512,907.512,-892.512
400270,365812.417,2263351.719,904.655,904.655,-889.655
400271,365557.532,2263351.745,900.509,900.509,-885.509
400272,365812.386,2263312.738,904.394,904.394,-889.394
400273,365557.598,2263312.751,902.286,902.286,-887.286
600269,365953.057,2263292.292,907.777,907.777,-890.777
600270,365960.051,2263292.376,907.894,907.894,-890.894
600271,365955.541,2263296.224,907.517,907.517,-890.517
600272,365950.774,2263296.291,907.487,907.487,-890.487
600273,365959.939,2263296.191,907.653,907.653,-890.653
600274,365809.021,2263311.86,905.685,905.685,-888.685
600275,365804.515,2263311.72,905.741,905.741,-888.741
600276,365811.34,2263313.614,905.852,905.852,-888.852
600277,365804.572,2263313.493,905.778,905.778,-888.778
600278,365811.144,2263350.81,905.814,905.814,-888.814
600279,365804.375,2263350.99,905.579,905.579,-888.579
600280,365804.551,2263352.826,905.575,905.575,-888.575
600281,365811.208,2263352.792,905.823,905.823,-888.823
800006,365909.236,2263340.621,900.159,900.159,-889.409
400067,367100.043,2256640.495,888.526,888.526,-873.526
400069,367503.88,2257581.548,888.229,888.229,-873.229
400070,367503.904,2256737.969,883.718,883.718,-868.718
